time	V(a,b)	I(V4)
3.174050000003174e-002	-2.257655e+001	-1.917752e+000
3.188664285717475e-002	-6.282342e+000	-1.759356e+000
3.203278571431775e-002	9.909020e+000	-1.596890e+000
3.217892857146076e-002	2.599753e+001	-1.430354e+000
3.232507142860375e-002	4.198319e+001	-1.259748e+000
3.247121428574676e-002	5.786601e+001	-1.085073e+000
3.261735714288976e-002	7.364597e+001	-9.063268e-001
3.276350000003277e-002	8.932309e+001	-7.235112e-001
3.276450000003277e-002	8.942865e+001	-7.222611e-001
3.284464285717571e-002	9.786470e+001	-6.215200e-001
3.292478571431864e-002	1.061927e+002	-5.204432e-001
3.300492857146158e-002	1.144127e+002	-4.190306e-001
3.308507142860451e-002	1.225246e+002	-3.172823e-001
3.316521428574745e-002	1.305285e+002	-2.151982e-001
3.324535714289039e-002	1.384244e+002	-1.127784e-001
3.332550000003333e-002	1.462122e+002	-1.002280e-002
3.333664285717620e-002	1.472820e+002	4.235189e-003
3.334778571431907e-002	1.483493e+002	1.849247e-002
3.335892857146194e-002	1.494138e+002	3.274905e-002
3.337007142860480e-002	1.504758e+002	4.700493e-002
3.338121428574767e-002	1.515351e+002	6.126010e-002
3.339235714289054e-002	1.525917e+002	7.551456e-002
3.340350000003341e-002	1.536457e+002	8.976833e-002
3.345835714289060e-002	1.587998e+002	1.599844e-001
3.351321428574780e-002	1.638807e+002	2.300574e-001
3.356807142860500e-002	1.688883e+002	2.999872e-001
3.362292857146220e-002	1.738227e+002	3.697738e-001
3.367778571431940e-002	1.786838e+002	4.394173e-001
3.373264285717659e-002	1.834716e+002	5.089176e-001
3.378750000003379e-002	1.881862e+002	5.782747e-001
3.378850000003379e-002	1.882713e+002	5.795355e-001
3.393464285717680e-002	2.004948e+002	7.641423e-001
3.408078571431980e-002	2.120286e+002	9.450903e-001
3.422692857146280e-002	2.228726e+002	1.122379e+000
3.437307142860580e-002	2.330269e+002	1.296010e+000
3.451921428574881e-002	2.424914e+002	1.465981e+000
3.466535714289181e-002	2.512662e+002	1.632294e+000
3.481150000003482e-002	2.593513e+002	1.794948e+000
3.481250000003482e-002	2.594034e+002	1.796033e+000
3.495807142860639e-002	2.666327e+002	1.952341e+000
3.510364285717797e-002	2.730186e+002	2.101707e+000
3.524921428574954e-002	2.785612e+002	2.244132e+000
3.539478571432111e-002	2.832603e+002	2.379617e+000
3.554035714289269e-002	2.871161e+002	2.508160e+000
3.568592857146426e-002	2.901285e+002	2.629763e+000
3.583150000003584e-002	2.922975e+002	2.744424e+000
3.583650000003584e-002	2.923553e+002	2.748183e+000
3.587578571432160e-002	2.927732e+002	2.777393e+000
3.591507142860734e-002	2.931268e+002	2.805979e+000
3.595435714289310e-002	2.934160e+002	2.833939e+000
3.599364285717886e-002	2.936408e+002	2.861276e+000
3.603292857146461e-002	2.938012e+002	2.887988e+000
3.607221428575036e-002	2.938973e+002	2.914076e+000
3.611150000003612e-002	2.939290e+002	2.939539e+000
3.618050000003618e-002	2.938274e+002	2.982735e+000
3.624950000003625e-002	2.935279e+002	3.023848e+000
3.631850000003632e-002	2.930306e+002	3.062878e+000
3.638750000003639e-002	2.923353e+002	3.099824e+000
3.645650000003646e-002	2.914421e+002	3.134686e+000
3.652550000003653e-002	2.903510e+002	3.167465e+000
3.659450000003660e-002	2.890620e+002	3.198161e+000
3.686050000003686e-002	2.822771e+002	3.295843e+000
3.700664285717987e-002	2.772833e+002	3.335568e+000
3.715278571432287e-002	2.714991e+002	3.365040e+000
3.729892857146588e-002	2.649243e+002	3.384258e+000
3.744507142860887e-002	2.575591e+002	3.393222e+000
3.759121428575188e-002	2.494035e+002	3.391932e+000
3.773735714289488e-002	2.404573e+002	3.380388e+000
3.788350000003789e-002	2.307207e+002	3.358591e+000
3.788450000003789e-002	2.306520e+002	3.358406e+000
3.800792857146659e-002	2.218742e+002	3.331726e+000
3.813135714289528e-002	2.126686e+002	3.298060e+000
3.825478571432397e-002	2.030353e+002	3.257408e+000
3.837821428575267e-002	1.929743e+002	3.209771e+000
3.850164285718136e-002	1.824855e+002	3.155149e+000
3.862507142861005e-002	1.715689e+002	3.093540e+000
3.874850000003875e-002	1.602246e+002	3.024947e+000
3.876907142861020e-002	1.583085e+002	3.012918e+000
3.878964285718165e-002	1.563831e+002	3.000709e+000
3.881021428575310e-002	1.544485e+002	2.988322e+000
3.883078571432455e-002	1.525047e+002	2.975754e+000
3.885135714289600e-002	1.505516e+002	2.963008e+000
3.887192857146745e-002	1.485894e+002	2.950082e+000
3.889250000003890e-002	1.466178e+002	2.936977e+000
3.890850000003891e-002	1.450786e+002	2.926664e+000
3.899692857146758e-002	1.364528e+002	2.867567e+000
3.908535714289623e-002	1.277001e+002	2.805466e+000
3.917378571432489e-002	1.188205e+002	2.740361e+000
3.926221428575355e-002	1.098140e+002	2.672252e+000
3.935064285718221e-002	1.006806e+002	2.601139e+000
3.943907142861087e-002	9.142033e+001	2.527022e+000
3.952750000003953e-002	8.203314e+001	2.449900e+000
3.958521428575387e-002	7.586570e+001	2.398153e+000
3.964292857146822e-002	6.966972e+001	2.345336e+000
3.970064285718256e-002	6.344519e+001	2.291446e+000
3.975835714289690e-002	5.719212e+001	2.236486e+000
3.981607142861125e-002	5.091051e+001	2.180454e+000
3.987378571432559e-002	4.460036e+001	2.123352e+000
3.993150000003994e-002	3.826167e+001	2.065177e+000
3.993250000003994e-002	3.815181e+001	2.064162e+000
4.007864285718294e-002	2.192265e+001	1.911420e+000
